layer,format,category,position,variant,n_ranks,median_rank,mean_reciprocal_rank,hit_rate@1,hit_rate@5,hit_rate@10,mean_topk_overlap
28,all,all,-2,adjacent_layer,38,0.5,0.52475598,0.5,0.55263158,0.55263158,
28,all,all,-2,distant_layer,38,211204,0.0018598746,0,0,0,
28,all,all,-2,shuffled_layer,38,211204,0.0018598746,0,0,0,
28,all,all,-1,jlens,38,58.5,0.097870691,0.052631579,0.13157895,0.18421053,
28,all,all,-1,logit_lens,38,5200.5,0.02797994,0,0.052631579,0.052631579,
28,all,all,-1,permuted,38,173501,1.1504297e-05,0,0,0,
28,all,all,-1,random,38,75392.5,2.4666756e-05,0,0,0,
28,all,all,-1,adjacent_layer,38,228,0.092991239,0.052631579,0.10526316,0.13157895,
28,all,all,-1,distant_layer,38,90018,6.4560076e-05,0,0,0,
28,all,all,-1,shuffled_layer,38,90018,6.4560076e-05,0,0,0,
28,chat,all,-2,jlens,8,437.5,0.1921727,0.125,0.25,0.25,
28,chat,all,-2,logit_lens,8,9552.5,0.0049658795,0,0,0,
28,chat,all,-2,permuted,8,140575.5,6.4792751e-06,0,0,0,
28,chat,all,-2,random,8,45667,3.687824e-05,0,0,0,
28,chat,all,-2,adjacent_layer,8,426.5,0.053697012,0,0.125,0.125,
28,chat,all,-2,distant_layer,8,203549.5,6.6532913e-06,0,0,0,
28,chat,all,-2,shuffled_layer,8,203549.5,6.6532913e-06,0,0,0,
28,chat,all,-1,jlens,8,261,0.17165859,0.125,0.25,0.25,
28,chat,all,-1,logit_lens,8,74237.5,0.00024998811,0,0,0,
28,chat,all,-1,permuted,8,232016,4.5106372e-06,0,0,0,
28,chat,all,-1,random,8,123781,1.591673e-05,0,0,0,
28,chat,all,-1,adjacent_layer,8,14438,0.0043465539,0,0,0,
28,chat,all,-1,distant_layer,8,151068,1.4502085e-05,0,0,0,
28,chat,all,-1,shuffled_layer,8,151068,1.4502085e-05,0,0,0,
28,plain,all,-2,jlens,30,1,0.35581281,0.066666667,0.66666667,0.7,
28,plain,all,-2,logit_lens,30,20.5,0.35042088,0.26666667,0.46666667,0.5,
28,plain,all,-2,permuted,30,161665,7.2322873e-06,0,0,0,
28,plain,all,-2,random,30,95665.5,1.2861053e-05,0,0,0,
28,plain,all,-2,adjacent_layer,30,0,0.6503717,0.63333333,0.66666667,0.66666667,
28,plain,all,-2,distant_layer,30,218482.5,0.002354067,0,0,0,
28,plain,all,-2,shuffled_layer,30,218482.5,0.002354067,0,0,0,
28,plain,all,-1,jlens,30,52,0.078193917,0.033333333,0.1,0.16666667,
28,plain,all,-1,logit_lens,30,3241,0.035374594,0,0.066666667,0.066666667,
28,plain,all,-1,permuted,30,135048.5,1.3369273e-05,0,0,0,
28,plain,all,-1,random,30,71949,2.7000097e-05,0,0,0,
28,plain,all,-1,adjacent_layer,30,172.5,0.11662982,0.066666667,0.13333333,0.16666667,
28,plain,all,-1,distant_layer,30,80108.5,7.7908873e-05,0,0,0,
28,plain,all,-1,shuffled_layer,30,80108.5,7.7908873e-05,0,0,0,
35,all,all,all,jlens,76,0,0.64232215,0.51315789,0.82894737,0.85526316,0.29210526
35,all,all,all,logit_lens,76,0,0.63054674,0.55263158,0.77631579,0.80263158,0.25657895
35,all,all,all,permuted,76,84523,2.0684507e-05,0,0,0,0
35,all,all,all,random,76,50881.5,8.8676787e-05,0,0,0,0
35,all,all,all,adjacent_layer,76,0,0.67358551,0.53947368,0.85526316,0.86842105,0.31315789
35,all,all,all,distant_layer,76,80155.5,0.00077874533,0,0,0,0
35,all,all,all,shuffled_layer,76,50186.5,0.00067524869,0,0,0,0.0052631579
35,chat,all,all,jlens,16,2,0.34631107,0.0625,0.6875,0.75,0.2875
35,chat,all,all,logit_lens,16,2.5,0.29014526,0.0625,0.75,0.8125,0.30625
35,chat,all,all,permuted,16,112154,2.4008803e-05,0,0,0,0
