k,layer_from,layer_to,format,cut,n,mean_delta_explained_fraction,median_delta_explained_fraction,mean_active_set_jaccard,median_active_set_jaccard,mean_weighted_similarity,mean_delta_herfindahl,mean_top1_share_to,mean_persistence_length,output_alignment_rate_to,mean_output_coefficient_share_to
10,21,28,all,category:multihop,12,0.0070163061,0.0071677566,0.0043859649,0,0.0034702859,0.01584027,0.24863736,0,0,0
10,21,28,all,category:syntactic,12,0.0067176968,0.0073789954,0.0043859649,0,0.043695611,0.020917711,0.25404194,0,0.083333333,0.0024914251
10,28,35,all,all,76,0.0094901449,0.0097219944,0.016697445,0,0.039199919,0.0018491415,0.27873106,0,0.78947368,0.2018632
10,28,35,chat,all,16,0.010292988,0.0094591975,0.0098684211,0,0.018932437,0.0028070848,0.28399556,0,0.3125,0.048354158
10,28,35,plain,all,60,0.0092760533,0.0097219944,0.018518519,0,0.04460458,0.00159369,0.27732719,0,0.91666667,0.24279895
10,28,35,all,-2,38,0.010964232,0.011237293,0.011080332,0,0.022247384,0.01371405,0.29989669,0,0.86842105,0.23594468
10,28,35,all,-1,38,0.0080160577,0.0079376698,0.022314558,0,0.056152453,-0.010015767,0.25756542,0,0.71052632,0.16778172
10,28,35,all,category:antonym,14,0.008007437,0.0085417628,0.015037594,0,0.040377704,0.038613946,0.33984165,0,0.85714286,0.24630888
10,28,35,all,category:association,12,0.012795319,0.012165964,0.021929825,0,0.084353021,-0.024406533,0.25055864,0,0.83333333,0.14955202
10,28,35,all,category:counting,10,0.009189558,0.011812717,0.015789474,0,0.036905572,-0.010401395,0.24449492,0,0.8,0.18217586
10,28,35,all,category:factual,16,0.010263626,0.0094953775,0.013157895,0,0.035335674,-0.0013171382,0.26996877,0,0.875,0.21493306
10,28,35,all,category:multihop,12,0.0092962037,0.0096198022,0.0087719298,0,0.012716345,0.0036086793,0.28683773,0,0.75,0.23109333
10,28,35,all,category:syntactic,12,0.0073279192,0.0062325895,0.026803119,0,0.026220588,-0.0021165059,0.26771427,0,0.58333333,0.17207061
10,35,38,all,all,76,-0.0016464866,-0.0012480319,0.30616558,0.33333333,0.7470386,0.02338015,0.31846793,0.10526316,0.84210526,0.26234325
10,35,38,chat,all,16,-0.0036658831,-0.0038275719,0.22725549,0.17647059,0.68667361,0.027011965,0.32568015,0,0.3125,0.078206214
10,35,38,plain,all,60,-0.0011079808,-0.0010901093,0.32720828,0.33333333,0.76313594,0.022411666,0.31654467,0.13333333,0.98333333,0.31144646
10,35,38,all,-2,38,-0.00052545102,6.5326691e-05,0.29602806,0.33333333,0.77617191,0.032024678,0.3507716,0.052631579,0.89473684,0.31337668
10,35,38,all,-1,38,-0.0027675221,-0.0031332374,0.31630311,0.29166667,0.7179053,0.014735622,0.28616425,0.15789474,0.78947368,0.21130982
10,35,38,all,category:antonym,14,0.00021580287,0.00067326427,0.33652692,0.33333333,0.83417081,0.034713421,0.38102336,0.21428571,0.78571429,0.2941738
10,35,38,all,category:association,12,-0.0048773587,-0.0048492253,0.35241148,0.33333333,0.76068143,0.002465418,0.23748514,0.083333333,0.75,0.17909583
10,35,38,all,category:counting,10,0.0013307452,0.0010120869,0.29020865,0.29166667,0.76003153,0.022170856,0.29530693,0.2,0.9,0.25206909
10,35,38,all,category:factual,16,-0.0044663921,-0.0046419203,0.30230217,0.33333333,0.73454703,0.025145648,0.32431922,0,0.875,0.27666117
10,35,38,all,category:multihop,12,-0.0013232728,-0.00083187222,0.27295363,0.25,0.75196531,0.03043957,0.33507488,0.083333333,0.91666667,0.30187856
10,35,38,all,category:syntactic,12,0.00036734839,0.00079995394,0.27615875,0.25,0.63264282,0.022667063,0.32136153,0.083333333,0.83333333,0.25839097
16,14,21,all,all,76,-0.001741883,-0.0012561381,0.040540853,0.032258065,0.12228256,-0.003583237,0.16812562,0,0.039473684,0.0036916019
16,14,21,chat,all,16,-0.00081012025,-0.00087526441,0.041344549,0.032258065,0.09237256,0.0098668164,0.19154647,0,0,0
16,14,21,plain,all,60,-0.0019903531,-0.0016244054,0.040326534,0.032258065,0.13025856,-0.0071699179,0.16188006,0,0.05,0.004676029
16,14,21,all,-2,38,-0.0018773581,-0.0013328791,0.043245876,0.032795699,0.15062804,-0.0020274265,0.1706086,0,0,0
16,14,21,all,-1,38,-0.0016064079,-0.0011897087,0.03783583,0.032258065,0.093937085,-0.0051390476,0.16564264,0,0.078947368,0.0073832037
16,14,21,all,category:antonym,14,-0.0013151935,-0.0010754466,0.052455403,0.034482759,0.11821962,-0.012127529,0.15211678,0,0.071428571,0.0056892489
16,14,21,all,category:association,12,-0.0020796855,-0.0019749105,0.050012359,0.033333333,0.13162301,-0.00259683,0.15810756,0,0.083333333,0.0048398498
16,14,21,all,category:counting,10,-0.0017018199,-0.0014589131,0.037165104,0.032258065,0.08697316,-0.0078639542,0.16177112,0,0,0
16,14,21,all,category:factual,16,-0.0022660904,-0.0019913912,0.037738691,0.032258065,0.13651439,0.0019610135,0.18238536,0,0.0625,0.0089271286
16,14,21,all,category:multihop,12,-0.0015983582,-0.0012280643,0.036654484,0.032258065,0.16352064,-0.0031181912,0.188278,0,0,0
16,14,21,all,category:syntactic,12,-0.0013798525,-0.0008648634,0.027604746,0.032795699,0.086892859,0.0011085805,0.16295072,0,0,0
16,21,28,all,all,76,0.0077400725,0.0078525543,0.009173936,0,0.020710089,0.016173,0.19929481,0,0.065789474,0.010868431
16,21,28,chat,all,16,0.0044038929,0.0044358671,0.0081989247,0,0.0055532585,0.0023257548,0.18704166,0,0,0
16,21,28,plain,all,60,0.0086297204,0.0084882677,0.0094339389,0,0.02475191,0.019865599,0.20256232,0,0.083333333,0.013766679
16,21,28,all,-2,38,0.0070306659,0.0071067512,0.0035126749,0,0.0080725732,0.012849743,0.19279754,0,0.078947368,0.0075255151
16,21,28,all,-1,38,0.0084494792,0.0091289878,0.014835197,0,0.033347604,0.019496257,0.20579209,0,0.052631579,0.014211346
16,21,28,all,category:antonym,14,0.0078652714,0.0065639913,0.011915356,0,0.041573925,0.0076442028,0.16431908,0,0,0
16,21,28,all,category:association,12,0.0074479381,0.0073908865,0.011213076,0,0.0064393662,0.029742854,0.22660263,0,0.16666667,0.045002596
16,21,28,all,category:counting,10,0.0084151566,0.0086590648,0.0032258065,0,0.0021439465,0.024190016,0.19456388,0,0,0
16,21,28,all,category:factual,16,0.0080588348,0.0087287128,0.01250927,0,0.021285731,0.011477385,0.20837309,0,0.0625,0.012855211
16,21,28,all,category:multihop,12,0.0073604633,0.0075458288,0.0055555556,0,0.0052222359,0.010221717,0.2059286,0,0.083333333,0.002467506
16,21,28,all,category:syntactic,12,0.0072781642,0.0078980029,0.0080645161,0,0.040831785,0.018084668,0.1979963,0,0.083333333,0.0042230098
16,28,35,all,all,76,0.0096951566,0.0097982883,0.01956072,0,0.050630584,0.0017060948,0.23592878,0,0.78947368,0.17335565
16,28,35,chat,all,16,0.010405239,0.0097272694,0.014664442,0,0.027928187,0.00378814,0.23603702,0,0.3125,0.046527336
16,28,35,plain,all,60,0.0095058014,0.0097982883,0.020866395,0.016129032,0.056684557,0.0011508828,0.23589992,0,0.91666667,0.20717654
16,28,35,all,-2,38,0.011298893,0.011652142,0.015567004,0,0.037646923,0.0097276152,0.25415895,0,0.86842105,0.20253471
16,28,35,all,-1,38,0.0080914199,0.0079736114,0.023554437,0.016129032,0.063614245,-0.0063154255,0.21769862,0,0.71052632,0.1441766
16,28,35,all,category:antonym,14,0.0080491304,0.0084753036,0.016205837,0.016129032,0.045009524,0.033573987,0.2920433,0,0.85714286,0.21822153
16,28,35,all,category:association,12,0.013142248,0.01248017,0.030107527,0.032258065,0.10871439,-0.017662663,0.20868941,0,0.83333333,0.12386906
16,28,35,all,category:counting,10,0.0096547961,0.012298107,0.037141268,0.032258065,0.061275352,-0.015455071,0.19794888,0,0.8,0.15238792
